
  TOKEN TYPE                	| VALUE                	| LINENO 	| ENUM 
  TK_ASSIGNOP               	| ->                   	| 17    	| 73   
  TK_IDENTIFIER             	| count                	| 17    	| 55   
  TK_ADD                    	| +                    	| 17    	| 74   
  TK_INT                    	| 1                    	| 17    	| 51   
  TK_SEMI                   	| ;                    	| 17    	| 92   
  TK_END                    	| END                  	| 18    	| 59   
  TK_IDENTIFIER             	| i                    	| 19    	| 55   
  TK_ASSIGNOP               	| ->                   	| 19    	| 73   
  TK_IDENTIFIER             	| i                    	| 19    	| 55   
  TK_ADD                    	| +                    	| 19    	| 74   
  TK_INT                    	| 1                    	| 19    	| 51   
  TK_SEMI                   	| ;                    	| 19    	| 92   
  TK_IDENTIFIER             	| j                    	| 20    	| 55   
  TK_ASSIGNOP               	| ->                   	| 20    	| 73   
  TK_IDENTIFIER             	| j                    	| 20    	| 55   
  TK_ADD                    	| +                    	| 20    	| 74   
  TK_INT                    	| 1                    	| 20    	| 51   
  TK_SEMI                   	| ;                    	| 20    	| 92   
  TK_END                    	| END                  	| 21    	| 59   
  TK_RETURN                 	| return               	| 22    	| 66   
  TK_IDENTIFIER             	| count                	| 22    	| 55   
  TK_SEMI                   	| ;                    	| 22    	| 92   
  TK_END                    	| END                  	| 23    	| 59   
  TK_MAIN                   	| MAIN                 	| 25    	| 56   
  TK_START                  	| START                	| 26    	| 58   
  TK_DATA_STRAND            	| strand               	| 27    	| 70   
  TK_IDENTIFIER             	| k1                   	| 27    	| 55   
  TK_LB                     	| [                    	| 27    	| 89   
  TK_INT                    	| 100                  	| 27    	| 51   
  TK_RB                     	| ]                    	| 27    	| 90   
  TK_SEMI                   	| ;                    	| 27    	| 92   
  TK_DATA_STRAND            	| strand               	| 28    	| 70   
  TK_IDENTIFIER             	| k2                   	| 28    	| 55   
  TK_LB                     	| [                    	| 28    	| 89   
  TK_INT                    	| 100                  	| 28    	| 51   
  TK_RB                     	| ]                    	| 28    	| 90   
  TK_SEMI                   	| ;                    	| 28    	| 92   
  TK_DATA_INT               	| int                  	| 29    	| 68   
  TK_IDENTIFIER             	| anomalies            	| 29    	| 55   
  TK_SEMI                   	| ;                    	| 29    	| 92   
  TK_IDENTIFIER             	| k1                   	| 30    	| 55   
  TK_ASSIGNOP               	| ->                   	| 30    	| 73   
  TK_READSTRAND             	| readStrand           	| 30    	| 95   
  TK_LP                     	| (                    	| 30    	| 87   
  TK_STRINGCONSTANT         	| "input1.txt"         	| 30    	| 54   
  TK_RP                     	| )    
